,date,index
0,2011-01-03,68.0
1,2011-01-04,68.0
2,2011-01-05,67.0
3,2011-01-06,64.0
4,2011-01-07,63.0
5,2011-01-10,58.0
6,2011-01-11,58.0
7,2011-01-12,58.0
8,2011-01-13,58.0
9,2011-01-14,60.0
10,2011-01-18,56.0
11,2011-01-19,55.0
12,2011-01-20,54.0
13,2011-01-21,47.0
14,2011-01-24,45.0
15,2011-01-25,43.0
16,2011-01-26,43.0
17,2011-01-27,43.0
18,2011-01-28,43.0
19,2011-01-31,41.0
20,2011-02-01,41.0
21,2011-02-02,46.0
22,2011-02-03,47.0
23,2011-02-04,49.0
24,2011-02-07,56.0
25,2011-02-08,56.0
26,2011-02-09,56.0
27,2011-02-10,56.0
28,2011-02-11,56.0
29,2011-02-14,61.0
30,2011-02-15,61.0
31,2011-02-16,61.0
32,2011-02-17,61.0
33,2011-02-18,56.0
34,2011-02-22,42.0
35,2011-02-23,42.0
36,2011-02-24,42.0
37,2011-02-25,42.0
38,2011-02-28,43.0
39,2011-03-01,43.0
40,2011-03-02,42.0
41,2011-03-03,41.0
42,2011-03-04,39.0
43,2011-03-07,35.0
44,2011-03-08,27.0
45,2011-03-09,26.0
46,2011-03-10,26.0
47,2011-03-11,26.0
48,2011-03-14,13.0
49,2011-03-15,13.0
50,2011-03-16,11.0
51,2011-03-17,9.0
52,2011-03-18,9.0
53,2011-03-21,14.0
54,2011-03-22,15.0
55,2011-03-23,16.0
56,2011-03-24,16.0
57,2011-03-25,19.0
58,2011-03-28,23.0
59,2011-03-29,23.0
60,2011-03-30,24.0
61,2011-03-31,24.0
62,2011-04-01,27.0
63,2011-04-04,31.0
64,2011-04-05,35.0
65,2011-04-06,37.0
66,2011-04-07,37.0
67,2011-04-08,37.0
68,2011-04-11,34.0
69,2011-04-12,33.0
70,2011-04-13,33.0
71,2011-04-14,30.0
72,2011-04-15,28.0
73,2011-04-18,24.0
74,2011-04-19,24.0
75,2011-04-20,25.0
76,2011-04-21,30.0
77,2011-04-25,35.0
78,2011-04-26,36.0
79,2011-04-27,37.0
80,2011-04-28,37.0
81,2011-04-29,41.0
82,2011-05-02,36.0
83,2011-05-03,31.0
84,2011-05-04,30.0
85,2011-05-05,29.0
86,2011-05-06,27.0
87,2011-05-09,28.0
88,2011-05-10,31.0
89,2011-05-11,31.0
90,2011-05-12,32.0
91,2011-05-13,32.0
92,2011-05-16,27.0
93,2011-05-17,27.0
94,2011-05-18,25.0
95,2011-05-19,23.0
96,2011-05-20,22.0
97,2011-05-23,16.0
98,2011-05-24,13.0
99,2011-05-25,13.0
100,2011-05-26,15.0
101,2011-05-27,16.0
102,2011-05-31,16.0
103,2011-06-01,15.0
104,2011-06-02,12.0
105,2011-06-03,9.0
106,2011-06-06,6.0
107,2011-06-07,6.0
108,2011-06-08,6.0
109,2011-06-09,6.0
110,2011-06-10,5.0
111,2011-06-13,6.0
112,2011-06-14,5.0
113,2011-06-15,5.0
114,2011-06-16,6.0
115,2011-06-17,7.0
116,2011-06-20,9.0
117,2011-06-21,9.0
118,2011-06-22,10.0
119,2011-06-23,10.0
120,2011-06-24,11.0
121,2011-06-27,25.0
122,2011-06-28,29.0
123,2011-06-29,30.0
124,2011-06-30,32.0
125,2011-07-01,34.0
126,2011-07-05,51.0
127,2011-07-06,52.0
128,2011-07-07,48.0
129,2011-07-08,43.0
130,2011-07-11,35.0
131,2011-07-12,31.0
132,2011-07-13,31.0
133,2011-07-14,31.0
134,2011-07-15,32.0
135,2011-07-18,44.0
136,2011-07-19,44.0
137,2011-07-20,47.0
138,2011-07-21,48.0
139,2011-07-22,51.0
140,2011-07-25,38.0
141,2011-07-26,35.0
142,2011-07-27,27.0
143,2011-07-28,27.0
144,2011-07-29,16.0
145,2011-08-01,10.0
146,2011-08-02,8.0
147,2011-08-03,2.0
148,2011-08-04,5.0
149,2011-08-05,5.0
150,2011-08-08,1.0
151,2011-08-09,2.0
152,2011-08-10,2.0
153,2011-08-11,3.0
154,2011-08-12,6.0
155,2011-08-15,7.0
156,2011-08-16,11.0
157,2011-08-17,7.0
158,2011-08-18,7.0
159,2011-08-19,6.0
160,2011-08-22,7.0
161,2011-08-23,9.0
162,2011-08-24,8.0
163,2011-08-25,11.0
164,2011-08-26,12.0
165,2011-08-29,22.0
166,2011-08-30,22.0
167,2011-08-31,28.0
168,2011-09-01,26.0
169,2011-09-02,26.0
170,2011-09-06,27.0
171,2011-09-07,28.0
172,2011-09-08,25.0
173,2011-09-09,25.0
174,2011-09-12,31.0
175,2011-09-13,31.0
176,2011-09-14,31.0
177,2011-09-15,33.0
178,2011-09-16,38.0
179,2011-09-19,39.0
180,2011-09-20,32.0
181,2011-09-21,31.0
182,2011-09-22,28.0
183,2011-09-23,28.0
184,2011-09-26,26.0
185,2011-09-27,25.0
186,2011-09-28,27.0
187,2011-09-29,23.0
188,2011-09-30,22.0
189,2011-10-03,20.0
190,2011-10-04,23.0
191,2011-10-05,27.0
192,2011-10-06,33.0
193,2011-10-07,31.0
194,2011-10-10,41.0
195,2011-10-11,41.0
196,2011-10-12,42.0
197,2011-10-13,42.0
198,2011-10-14,41.0
199,2011-10-17,48.0
200,2011-10-18,48.0
201,2011-10-19,48.0
202,2011-10-20,54.0
203,2011-10-21,66.0
204,2011-10-24,62.0
205,2011-10-25,62.0
206,2011-10-26,71.0
207,2011-10-27,67.0
208,2011-10-28,66.0
209,2011-10-31,62.0
210,2011-11-01,62.0
211,2011-11-02,62.0
212,2011-11-03,63.0
213,2011-11-04,60.0
214,2011-11-07,65.0
215,2011-11-08,65.0
216,2011-11-09,59.0
217,2011-11-10,60.0
218,2011-11-11,60.0
219,2011-11-14,54.0
220,2011-11-15,54.0
221,2011-11-16,55.0
222,2011-11-17,52.0
223,2011-11-18,46.0
224,2011-11-21,43.0
225,2011-11-22,41.0
226,2011-11-23,39.0
227,2011-11-25,51.0
228,2011-11-28,57.0
229,2011-11-29,62.0
230,2011-11-30,67.0
231,2011-12-01,61.0
232,2011-12-02,67.0
233,2011-12-05,66.0
234,2011-12-06,66.0
235,2011-12-07,66.0
236,2011-12-08,66.0
237,2011-12-09,65.0
238,2011-12-12,62.0
239,2011-12-13,56.0
240,2011-12-14,61.0
241,2011-12-15,61.0
242,2011-12-16,60.0
243,2011-12-19,74.0
244,2011-12-20,74.0
245,2011-12-21,74.0
246,2011-12-22,78.0
247,2011-12-23,77.0
248,2011-12-27,75.0
249,2011-12-28,75.0
250,2011-12-29,75.0
251,2011-12-30,75.0
252,2012-01-03,77.0
253,2012-01-04,77.0
254,2012-01-05,78.0
255,2012-01-06,78.0
256,2012-01-09,81.0
257,2012-01-10,82.0
258,2012-01-11,83.0
259,2012-01-12,83.0
260,2012-01-13,83.0
261,2012-01-17,88.0
262,2012-01-18,90.0
263,2012-01-19,89.0
264,2012-01-20,88.0
265,2012-01-23,87.0
266,2012-01-24,87.0
267,2012-01-25,84.0
268,2012-01-26,82.0
269,2012-01-27,82.0
270,2012-01-30,82.0
271,2012-01-31,85.0
272,2012-02-01,87.0
273,2012-02-02,88.0
274,2012-02-03,88.0
275,2012-02-06,88.0
276,2012-02-07,86.0
277,2012-02-08,86.0
278,2012-02-09,85.0
279,2012-02-10,83.0
280,2012-02-13,83.0
281,2012-02-14,81.0
282,2012-02-15,82.0
283,2012-02-16,81.0
284,2012-02-17,80.0
285,2012-02-21,79.0
286,2012-02-22,78.0
287,2012-02-23,79.0
288,2012-02-24,79.0
289,2012-02-27,75.0
290,2012-02-28,75.0
291,2012-02-29,72.0
