,Date,Fear Greed,sp500,Month,Year,Year_Month,Category
0,2011-01-03,68,1271.87,1,2011,2011_1,Greed
1,2011-01-04,68,1270.2,1,2011,2011_1,Greed
2,2011-01-05,67,1276.56,1,2011,2011_1,Greed
3,2011-01-06,64,1273.85,1,2011,2011_1,Greed
4,2011-01-07,63,1271.5,1,2011,2011_1,Greed
5,2011-01-10,58,1269.75,1,2011,2011_1,Greed
6,2011-01-11,58,1274.48,1,2011,2011_1,Greed
7,2011-01-12,58,1285.96,1,2011,2011_1,Greed
8,2011-01-13,58,1283.76,1,2011,2011_1,Greed
9,2011-01-14,60,1293.24,1,2011,2011_1,Greed
10,2011-01-18,56,1295.02,1,2011,2011_1,Greed
11,2011-01-19,55,1281.92,1,2011,2011_1,Greed
12,2011-01-20,54,1280.26,1,2011,2011_1,Greed
13,2011-01-21,47,1283.35,1,2011,2011_1,Fear
14,2011-01-24,45,1290.84,1,2011,2011_1,Fear
15,2011-01-25,43,1291.18,1,2011,2011_1,Fear
16,2011-01-26,43,1296.63,1,2011,2011_1,Fear
17,2011-01-27,43,1299.54,1,2011,2011_1,Fear
18,2011-01-28,43,1276.34,1,2011,2011_1,Fear
19,2011-01-31,41,1286.12,1,2011,2011_1,Fear
20,2011-02-01,41,1307.59,2,2011,2011_2,Fear
21,2011-02-02,46,1304.03,2,2011,2011_2,Fear
22,2011-02-03,47,1307.1,2,2011,2011_2,Fear
23,2011-02-04,49,1310.87,2,2011,2011_2,Fear
24,2011-02-07,56,1319.05,2,2011,2011_2,Greed
25,2011-02-08,56,1324.57,2,2011,2011_2,Greed
26,2011-02-09,56,1320.88,2,2011,2011_2,Greed
27,2011-02-10,56,1321.87,2,2011,2011_2,Greed
28,2011-02-11,56,1329.15,2,2011,2011_2,Greed
29,2011-02-14,61,1332.32,2,2011,2011_2,Greed
30,2011-02-15,61,1328.01,2,2011,2011_2,Greed
31,2011-02-16,61,1336.32,2,2011,2011_2,Greed
32,2011-02-17,61,1340.43,2,2011,2011_2,Greed
33,2011-02-18,56,1343.01,2,2011,2011_2,Greed
34,2011-02-22,42,1315.44,2,2011,2011_2,Fear
35,2011-02-23,42,1307.4,2,2011,2011_2,Fear
36,2011-02-24,42,1306.1,2,2011,2011_2,Fear
37,2011-02-25,42,1319.88,2,2011,2011_2,Fear
38,2011-02-28,43,1327.22,2,2011,2011_2,Fear
39,2011-03-01,43,1306.33,3,2011,2011_3,Fear
40,2011-03-02,42,1308.44,3,2011,2011_3,Fear
41,2011-03-03,41,1330.97,3,2011,2011_3,Fear
42,2011-03-04,39,1321.15,3,2011,2011_3,Fear
43,2011-03-07,35,1310.13,3,2011,2011_3,Fear
44,2011-03-08,27,1321.82,3,2011,2011_3,Fear
45,2011-03-09,26,1320.02,3,2011,2011_3,Fear
46,2011-03-10,26,1295.11,3,2011,2011_3,Fear
47,2011-03-11,26,1304.28,3,2011,2011_3,Fear
48,2011-03-14,13,1296.39,3,2011,2011_3,Extreme Fear
49,2011-03-15,13,1281.87,3,2011,2011_3,Extreme Fear
50,2011-03-16,11,1256.88,3,2011,2011_3,Extreme Fear
51,2011-03-17,9,1273.72,3,2011,2011_3,Extreme Fear
52,2011-03-18,9,1279.21,3,2011,2011_3,Extreme Fear
53,2011-03-21,14,1298.38,3,2011,2011_3,Extreme Fear
54,2011-03-22,15,1293.77,3,2011,2011_3,Extreme Fear
55,2011-03-23,16,1297.54,3,2011,2011_3,Extreme Fear
56,2011-03-24,16,1309.66,3,2011,2011_3,Extreme Fear
57,2011-03-25,19,1313.8,3,2011,2011_3,Extreme Fear
58,2011-03-28,23,1310.19,3,2011,2011_3,Extreme Fear
59,2011-03-29,23,1319.44,3,2011,2011_3,Extreme Fear
60,2011-03-30,24,1328.26,3,2011,2011_3,Extreme Fear
61,2011-03-31,24,1325.83,3,2011,2011_3,Extreme Fear
62,2011-04-01,27,1332.41,4,2011,2011_4,Fear
63,2011-04-04,31,1332.87,4,2011,2011_4,Fear
64,2011-04-05,35,1332.63,4,2011,2011_4,Fear
65,2011-04-06,37,1335.54,4,2011,2011_4,Fear
66,2011-04-07,37,1333.51,4,2011,2011_4,Fear
67,2011-04-08,37,1328.17,4,2011,2011_4,Fear
68,2011-04-11,34,1324.46,4,2011,2011_4,Fear
69,2011-04-12,33,1314.16,4,2011,2011_4,Fear
70,2011-04-13,33,1314.41,4,2011,2011_4,Fear
71,2011-04-14,30,1314.52,4,2011,2011_4,Fear
72,2011-04-15,28,1319.68,4,2011,2011_4,Fear
73,2011-04-18,24,1305.14,4,2011,2011_4,Extreme Fear
74,2011-04-19,24,1312.62,4,2011,2011_4,Extreme Fear
75,2011-04-20,25,1330.36,4,2011,2011_4,Extreme Fear
76,2011-04-21,30,1337.38,4,2011,2011_4,Fear
77,2011-04-25,35,1335.25,4,2011,2011_4,Fear
78,2011-04-26,36,1347.24,4,2011,2011_4,Fear
79,2011-04-27,37,1355.66,4,2011,2011_4,Fear
80,2011-04-28,37,1360.48,4,2011,2011_4,Fear
81,2011-04-29,41,1363.61,4,2011,2011_4,Fear
82,2011-05-02,36,1361.22,5,2011,2011_5,Fear
83,2011-05-03,31,1356.62,5,2011,2011_5,Fear
84,2011-05-04,30,1347.32,5,2011,2011_5,Fear
85,2011-05-05,29,1335.1,5,2011,2011_5,Fear
86,2011-05-06,27,1340.2,5,2011,2011_5,Fear
87,2011-05-09,28,1346.29,5,2011,2011_5,Fear
88,2011-05-10,31,1357.16,5,2011,2011_5,Fear
89,2011-05-11,31,1342.08,5,2011,2011_5,Fear
90,2011-05-12,32,1348.65,5,2011,2011_5,Fear
91,2011-05-13,32,1337.77,5,2011,2011_5,Fear
92,2011-05-16,27,1329.47,5,2011,2011_5,Fear
93,2011-05-17,27,1328.98,5,2011,2011_5,Fear
94,2011-05-18,25,1340.68,5,2011,2011_5,Extreme Fear
95,2011-05-19,23,1343.6,5,2011,2011_5,Extreme Fear
96,2011-05-20,22,1333.27,5,2011,2011_5,Extreme Fear
97,2011-05-23,16,1317.37,5,2011,2011_5,Extreme Fear
98,2011-05-24,13,1316.28,5,2011,2011_5,Extreme Fear
99,2011-05-25,13,1320.47,5,2011,2011_5,Extreme Fear
100,2011-05-26,15,1325.69,5,2011,2011_5,Extreme Fear
101,2011-05-27,16,1331.1,5,2011,2011_5,Extreme Fear
102,2011-05-31,16,1345.2,5,2011,2011_5,Extreme Fear
103,2011-06-01,15,1314.55,6,2011,2011_6,Extreme Fear
104,2011-06-02,12,1312.94,6,2011,2011_6,Extreme Fear
105,2011-06-03,9,1300.16,6,2011,2011_6,Extreme Fear
106,2011-06-06,6,1286.17,6,2011,2011_6,Extreme Fear
107,2011-06-07,6,1284.94,6,2011,2011_6,Extreme Fear
108,2011-06-08,6,1279.56,6,2011,2011_6,Extreme Fear
109,2011-06-09,6,1289.0,6,2011,2011_6,Extreme Fear
110,2011-06-10,5,1270.98,6,2011,2011_6,Extreme Fear
111,2011-06-13,6,1271.83,6,2011,2011_6,Extreme Fear
112,2011-06-14,5,1287.87,6,2011,2011_6,Extreme Fear
113,2011-06-15,5,1265.42,6,2011,2011_6,Extreme Fear
114,2011-06-16,6,1267.64,6,2011,2011_6,Extreme Fear
115,2011-06-17,7,1271.5,6,2011,2011_6,Extreme Fear
116,2011-06-20,9,1278.36,6,2011,2011_6,Extreme Fear
117,2011-06-21,9,1295.52,6,2011,2011_6,Extreme Fear
118,2011-06-22,10,1287.14,6,2011,2011_6,Extreme Fear
119,2011-06-23,10,1283.5,6,2011,2011_6,Extreme Fear
120,2011-06-24,11,1268.45,6,2011,2011_6,Extreme Fear
121,2011-06-27,25,1280.1,6,2011,2011_6,Extreme Fear
122,2011-06-28,29,1296.67,6,2011,2011_6,Fear
123,2011-06-29,30,1307.41,6,2011,2011_6,Fear
124,2011-06-30,32,1320.64,6,2011,2011_6,Fear
125,2011-07-01,34,1339.67,7,2011,2011_7,Fear
126,2011-07-05,51,1337.88,7,2011,2011_7,Greed
127,2011-07-06,52,1339.22,7,2011,2011_7,Greed
128,2011-07-07,48,1353.22,7,2011,2011_7,Fear
129,2011-07-08,43,1343.8,7,2011,2011_7,Fear
