,Date,Fear Greed,sp500,Month,Year,Year_Month,Category,Category_shift,Change_Flag,Buy_Sell,Buy_Sell_Amt
0,2011-01-03,68,1271.87,1,2011,2011_1,Greed,,1,0.0,0.0
1,2011-01-04,68,1270.2,1,2011,2011_1,Greed,Greed,0,0.0,0.0
2,2011-01-05,67,1276.56,1,2011,2011_1,Greed,Greed,0,0.0,0.0
3,2011-01-06,64,1273.85,1,2011,2011_1,Greed,Greed,0,0.0,0.0
4,2011-01-07,63,1271.5,1,2011,2011_1,Greed,Greed,0,0.0,0.0
5,2011-01-10,58,1269.75,1,2011,2011_1,Greed,Greed,0,0.0,0.0
6,2011-01-11,58,1274.48,1,2011,2011_1,Greed,Greed,0,0.0,0.0
7,2011-01-12,58,1285.96,1,2011,2011_1,Greed,Greed,0,0.0,0.0
8,2011-01-13,58,1283.76,1,2011,2011_1,Greed,Greed,0,0.0,0.0
9,2011-01-14,60,1293.24,1,2011,2011_1,Greed,Greed,0,0.0,0.0
10,2011-01-18,56,1295.02,1,2011,2011_1,Greed,Greed,0,0.0,0.0
11,2011-01-19,55,1281.92,1,2011,2011_1,Greed,Greed,0,0.0,0.0
12,2011-01-20,54,1280.26,1,2011,2011_1,Greed,Greed,0,0.0,0.0
13,2011-01-21,47,1283.35,1,2011,2011_1,Fear,Greed,1,-1.0,-1283.35
14,2011-01-24,45,1290.84,1,2011,2011_1,Fear,Fear,0,0.0,0.0
15,2011-01-25,43,1291.18,1,2011,2011_1,Fear,Fear,0,0.0,0.0
16,2011-01-26,43,1296.63,1,2011,2011_1,Fear,Fear,0,0.0,0.0
17,2011-01-27,43,1299.54,1,2011,2011_1,Fear,Fear,0,0.0,0.0
18,2011-01-28,43,1276.34,1,2011,2011_1,Fear,Fear,0,0.0,0.0
19,2011-01-31,41,1286.12,1,2011,2011_1,Fear,Fear,0,0.0,0.0
20,2011-02-01,41,1307.59,2,2011,2011_2,Fear,Fear,0,0.0,0.0
21,2011-02-02,46,1304.03,2,2011,2011_2,Fear,Fear,0,0.0,0.0
22,2011-02-03,47,1307.1,2,2011,2011_2,Fear,Fear,0,0.0,0.0
23,2011-02-04,49,1310.87,2,2011,2011_2,Fear,Fear,0,0.0,0.0
24,2011-02-07,56,1319.05,2,2011,2011_2,Greed,Fear,1,0.0,0.0
