,Date_min,Date_max,S&P500_first,S&P500_last,No_of_days,S&P500_price,Return_on_investment,Year
0,2011-01-21,2011-02-04,128.3699951171875,131.14999389648438,14 days,2.779998779296875,-2.165614150533429,2011
1,2011-02-22,2011-03-11,131.8300018310547,130.83999633789062,17 days,-0.9900054931640625,0.7509713110925986,2011
2,2011-03-14,2011-03-31,130.0500030517578,132.58999633789062,17 days,2.5399932861328125,-1.9530897551166788,2011
3,2011-04-01,2011-04-15,133.14999389648438,132.0399932861328,14 days,-1.1100006103515625,0.8336467602202902,2011
5,2011-04-21,2011-05-17,133.77999877929688,133.1699981689453,26 days,-0.6100006103515625,0.4559729525471994,2011
6,2011-05-18,2011-06-27,134.36000061035156,127.94000244140625,40 days,-6.4199981689453125,4.778206415437225,2011
8,2011-07-07,2011-07-21,135.36000061035156,134.49000549316406,14 days,-0.8699951171875,0.6427268862770461,2011
10,2011-07-29,2011-08-30,129.3300018310547,121.68000030517578,32 days,-7.650001525878906,5.915102000750139,2011
11,2011-08-31,2011-09-07,122.22000122070312,120.29000091552734,7 days,-1.9300003051757812,1.5791198542786873,2011
13,2011-09-12,2011-09-26,116.66999816894531,116.23999786376953,14 days,-0.43000030517578125,0.3685611656161285,2011
16,2011-09-29,2011-10-04,116.05000305175781,112.33999633789062,5 days,-3.7100067138671875,3.196903590095161,2011
17,2011-10-05,2011-10-19,114.41999816894531,121.12999725341797,14 days,6.709999084472656,-5.864358671431802,2011
18,2011-11-18,2011-11-23,121.9800033569336,116.55999755859375,5 days,-5.420005798339844,4.443356000310985,2011
19,2012-04-09,2012-05-10,138.22000122070312,136.02000427246094,31 days,-2.1999969482421875,1.5916632389037062,2012
20,2012-05-11,2012-06-13,135.61000061035156,132.07000732421875,33 days,-3.5399932861328125,2.610421997050409,2012
21,2012-06-14,2012-06-28,133.47000122070312,132.7899932861328,14 days,-0.6800079345703125,0.5094837254446958,2012
22,2012-07-09,2012-07-16,135.32000732421875,135.42999267578125,7 days,0.1099853515625,-0.08127796749151628,2012
